sequence_code,sequence,method,z,value,truth,abs_error,status
A,variable_base_tetration,hermite_cubic,0.0,0.3930142426287744,,,ok
A,variable_base_tetration,hermite_cubic,0.5,0.751127165488991,,,ok
A,variable_base_tetration,hermite_cubic,1.0,0.9999999999999999,,,ok
A,variable_base_tetration,hermite_cubic,1.5,1.3560226017790877,,,ok
A,variable_base_tetration,hermite_cubic,2.0,2.0,,,ok
A,variable_base_tetration,hermite_cubic,2.5,3.464301213167031,,,ok
A,variable_base_tetration,hermite_cubic,3.0,9.0,,,ok
A,variable_base_tetration,hermite_cubic,4.0,262144.0,,,ok
A,variable_base_tetration,hermite_quintic,0.0,0.4279837443424448,,,ok
A,variable_base_tetration,hermite_quintic,0.5,0.7428434256955467,,,ok
A,variable_base_tetration,hermite_quintic,1.0,0.9999999999999996,,,ok
A,variable_base_tetration,hermite_quintic,1.5,1.351475677506794,,,ok
A,variable_base_tetration,hermite_quintic,2.0,1.9999999999999925,,,ok
A,variable_base_tetration,hermite_quintic,2.5,3.4498979043136386,,,ok
A,variable_base_tetration,hermite_quintic,3.0,8.999999999999925,,,ok
A,variable_base_tetration,hermite_quintic,4.0,262143.99999997288,,,ok
A,variable_base_tetration,chebyshev,0.0,0.4015779947757775,,,ok
A,variable_base_tetration,chebyshev,0.5,0.7411526459729706,,,ok
A,variable_base_tetration,chebyshev,1.0,1.0,,,ok
A,variable_base_tetration,chebyshev,1.5,1.3505494879177276,,,ok
A,variable_base_tetration,chebyshev,2.0,1.9999999999999991,,,ok
A,variable_base_tetration,chebyshev,2.5,3.4469713596222062,,,ok
A,variable_base_tetration,chebyshev,3.0,8.999999999999991,,,ok
A,variable_base_tetration,chebyshev,4.0,262143.99999999677,,,ok
B,fixed_base_tetration,hermite_cubic,0.0,1.0,,,ok
B,fixed_base_tetration,hermite_cubic,0.5,1.185081003812305,,,ok
B,fixed_base_tetration,hermite_cubic,1.0,1.3,,,ok
B,fixed_base_tetration,hermite_cubic,1.5,1.3646840080446423,,,ok
B,fixed_base_tetration,hermite_cubic,2.0,1.4064566732378863,,,ok
B,fixed_base_tetration,hermite_cubic,2.5,1.4305290144006957,,,ok
B,fixed_base_tetration,hermite_cubic,3.0,1.446293346285982,,,ok
B,fixed_base_tetration,hermite_cubic,4.0,1.4614888698917725,,,ok
B,fixed_base_tetration,hermite_quintic,0.0,1.0,,,ok
B,fixed_base_tetration,hermite_quintic,0.5,1.1878758780941705,,,ok
B,fixed_base_tetration,hermite_quintic,1.0,1.3,,,ok
B,fixed_base_tetration,hermite_quintic,1.5,1.3656850638750218,,,ok
B,fixed_base_tetration,hermite_quintic,2.0,1.4064566732378863,,,ok
B,fixed_base_tetration,hermite_quintic,2.5,1.4309047797108723,,,ok
B,fixed_base_tetration,hermite_quintic,3.0,1.446293346285982,,,ok
B,fixed_base_tetration,hermite_quintic,4.0,1.4614888698917725,,,ok
B,fixed_base_tetration,chebyshev,0.0,1.0,,,ok
B,fixed_base_tetration,chebyshev,0.5,1.1665658211706222,,,ok
B,fixed_base_tetration,chebyshev,1.0,1.3,,,ok
B,fixed_base_tetration,chebyshev,1.5,1.3580708276414613,,,ok
B,fixed_base_tetration,chebyshev,2.0,1.4064566732378863,,,ok
B,fixed_base_tetration,chebyshev,2.5,1.4280491095809564,,,ok
B,fixed_base_tetration,chebyshev,3.0,1.446293346285982,,,ok
B,fixed_base_tetration,chebyshev,4.0,1.4614888698917725,,,ok
C,factorial_type,hermite_cubic,0.0,0.9999999999999998,1.0,2.220446049250313e-16,ok
C,factorial_type,hermite_cubic,0.5,0.8928571428571429,0.8862269254527578,0.006630217404385075,ok
C,factorial_type,hermite_cubic,1.0,0.9999999999999998,1.0,2.220446049250313e-16,ok
C,factorial_type,hermite_cubic,1.5,1.3392857142857144,1.329340388179137,0.00994532610657739,ok
C,factorial_type,hermite_cubic,2.0,2.0000000000000004,2.0,4.440892098500626e-16,ok
C,factorial_type,hermite_cubic,2.5,3.348214285714286,3.323350970447842,0.02486331526644392,ok
C,factorial_type,hermite_cubic,3.0,6.000000000000002,6.0,1.7763568394002505e-15,ok
C,factorial_type,hermite_cubic,4.0,24.000000000000007,24.0,7.105427357601002e-15,ok
C,factorial_type,hermite_quintic,0.0,1.0000000000000004,1.0,4.440892098500626e-16,ok
C,factorial_type,hermite_quintic,0.5,0.8866263339365833,0.8862269254527578,0.0003994084838254697,ok
C,factorial_type,hermite_quintic,1.0,1.0000000000000004,1.0,4.440892098500626e-16,ok
C,factorial_type,hermite_quintic,1.5,1.329939500904875,1.329340388179137,0.0005991127257378714,ok
C,factorial_type,hermite_quintic,2.0,2.0000000000000075,2.0,7.549516567451064e-15,ok
C,factorial_type,hermite_quintic,2.5,3.324848752262187,3.323350970447842,0.0014977818143449007,ok
C,factorial_type,hermite_quintic,3.0,6.000000000000023,6.0,2.3092638912203256e-14,ok
C,factorial_type,hermite_quintic,4.0,24.000000000000092,24.0,9.237055564881302e-14,ok
C,factorial_type,chebyshev,0.0,1.0000000000000004,1.0,4.440892098500626e-16,ok
C,factorial_type,chebyshev,0.5,0.8864073985196589,0.8862269254527578,0.00018047306690105458,ok
C,factorial_type,chebyshev,1.0,1.0000000000000004,1.0,4.440892098500626e-16,ok
C,factorial_type,chebyshev,1.5,1.3296110977794884,1.329340388179137,0.0002707096003513598,ok
C,factorial_type,chebyshev,2.0,1.9999999999999993,2.0,6.661338147750939e-16,ok
C,factorial_type,chebyshev,2.5,3.324027744448721,3.323350970447842,0.0006767740008788437,ok
C,factorial_type,chebyshev,3.0,5.999999999999998,6.0,1.7763568394002505e-15,ok
C,factorial_type,chebyshev,4.0,23.999999999999993,24.0,7.105427357601002e-15,ok
